Source.Name,Date_Range,Min_Price,Max_Price,Avg_Price
harga_ayam_2024.csv,09.12.2024 - 15.12.2024,5.4,6.5,5.83
harga_ayam_2024.csv,16.12.2024 - 22.12.2024,5.5,6.5,5.95
harga_ayam_2024.csv,23.12.2024 - 29.12.2024,5.5,6.8,6.08
harga_ayam_2025.csv,30.12.2024 - 05.01.2025,5,6.5,5.8
harga_ayam_2025.csv,06.01.2025 - 12.01.2025,5.6,6.8,6.09
harga_ayam_2025.csv,13.01.2025 - 19.01.2025,5.8,7.1,6.19
harga_ayam_2025.csv,20.01.2025 - 26.01.2025,5.5,7.3,6.4
harga_ayam_2025.csv,27.01.2025 - 02.02.2025,6,7.3,6.49
harga_ayam_2025.csv,03.02.2025 - 09.02.2025,5.4,6.8,6.2
harga_ayam_2025.csv,10.02.2025 - 16.02.2025,5,6.5,5.89
harga_ayam_2025.csv,17.02.2025 - 23.02.2025,5.5,7,6.24
harga_ayam_2025.csv,24.02.2025 - 02.03.2025,6,7.5,6.68
harga_ayam_2025.csv,03.03.2025 - 09.03.2025,5.8,6.8,6.26
harga_ayam_2025.csv,10.03.2025 - 16.03.2025,5.5,7,6.21
harga_ayam_2025.csv,17.03.2025 - 23.03.2025,5.9,7.1,6.47
harga_ayam_2025.csv,24.03.2025 - 30.03.2025,5.9,7.1,6.47
harga_ayam_2025.csv,31.03.2025 - 06.04.2025,4.9,6.8,6.29
harga_ayam_2025.csv,07.04.2025 - 13.04.2025,4.9,6.2,5.82
harga_ayam_2025.csv,14.04.2025 - 20.04.2025,4.7,6.6,5.57
harga_ayam_2025.csv,21.04.2025 - 27.04.2025,5.4,6.8,5.95
harga_ayam_2025.csv,28.04.2025 - 04.05.2025,6,7,6.46
harga_ayam_2025.csv,05.05.2025 - 11.05.2025,5.9,7.1,6.51
harga_ayam_2025.csv,12.05.2025 - 18.05.2025,5.4,7.1,6.59
harga_ayam_2025.csv,19.05.2025 - 25.05.2025,6.4,7.5,6.84
harga_ayam_2025.csv,26.05.2025 - 01.06.2025,6.4,7.2,6.85
harga_ayam_2025.csv,02.06.2025 - 08.06.2025,6.5,7.5,6.89
